[log] logging to logs.txt
[map assets/01.map] read map: oneway_square
[map assets/01.map] read graphics: map_01_oneway_square.bmp
[map assets/01.map] read guide: b-01.bmp
[map assets/01.map] read init: x = 550.000000, y = 200.000000, head = 90.000000
[map assets/01.map] starting to read segment rd of size 4
[map assets/01.map] finished reading segment rd
[map assets/01.map] starting to read segment wp of size 5
[map assets/01.map] finished reading segment wp
[map assets/01.map] starting to read segment tl of size 0
[map assets/01.map] finished reading segment tl
[map assets/01.map] starting to read segment st of size 0
[map assets/01.map] finished reading segment st
[map assets/01.map] starting to read segment obst of size 2
[map assets/01.map] finished reading segment obst
[map assets/01.map] starting to read segment iti of size 8
[map assets/01.map] finished reading segment iti
[sdl] loaded texture b-01.bmp
[sdl] loaded texture orange.bmp
[sdl] loaded texture obst.bmp
[simulation] starting (16 ms/cycle)
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 0 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 255; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 248; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 235; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 222; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 208; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 194; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 180; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 166; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 153; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 140; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 127; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 120; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 115; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 105; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 95; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 84; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 74; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 64; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 54; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 44; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 33; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 23; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 13; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 3; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 0; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 7; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 17; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 28; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 38; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 48; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 58; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 68; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 79; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 89; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 99; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 109; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 120; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 130; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 135; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 138; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 144; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 149; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 154; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 159; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 163; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 167; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 170; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 173; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 176; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 179; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 181; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 182; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 184; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 185; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 186; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 186; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 186; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 186; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 186; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 185; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 184; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 182; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 181; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 179; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 176; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 174; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 171; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 169; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 165; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 162; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 159; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 155; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 151; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 147; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 143; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 138; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 134; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 129; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 125; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 122; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
SENSOR{ s_road = { red = 121; green = 0; blue = 255 }; s_front = { red = 128; green = 128; blue = 128 }; s_sonar = 1000 }
